id,frequency
111e04de9de3eff9,    0
111ee9e49aa59abb,    0
111fb8003d547eb6,    0
111febc5fae8d8f7,    0
11200695e8e2dd1c,    0
1121650506925cf0,    0
1121ceab526da547,    0
11220566b2ac86b4,    2
1122190a19c727f6,    0
1122d8ee1b1ff5d5,  177
1122f07c70c89ff1,    0
1123bc97e75aecc1,    0
1126b2847c618226,    0
1126ee990b2d3bfa,    2
1128552ca8682bb6,    0
112a77a95edb2c92,   13
112bdead6f4ebe4b,    1
112c7e6be21cff03,    0
112d07e2051a255d,    0
112e52efda0fae9f,    0
11314acfd13329ca,    0
1131ddcda12dd46b,    0
113477d6306f8d0c,    0
1134833bc91443d5,    0
1136ae2a7e0875ec,    0
11384459f800e263,    0
11389a7bb375dbd4,    0
11390349911eb415,    0
113a239cebd6ad66,    0
113ab6ad6dc58561,    0
113d6914f2a3dbe9,    0
113dc724611c6f29,    0
113e1197d3eb791a,    0
113e20cda57305bb,    0
113e664f83a40ebb,    0
113e9e1658355aab,    0
113f19fb4833c259,    0
113f5cb9a388810c,    0
114066f23b09c79d,    0
1142b753fd9324e9,    0
1142fa39e8f494ed,    0
114367d4bca54932,  131
11457fa1b886d7ad,    0
114664ae9fd5a272,    0
1149009aefb5e3da,    0
114b28e35f3792db,    0
114dac6a7cb1bd69,    0
114ded0fb47552e7,    0
114e5b7d7b66f6b7,    0
114ed3e619a471f9,    0
114edb410ce604bd,    0
115422c7edc2c3a0,    0
115480a097350c9a,    0
115754933e003c49,    0
115939aac5337d77,    0
11597c0595f2600f,    0
115a3506d0531cc1,    0
115a7b141b1989b4,    0
115cad48e0132332,    0
115ce68c54b5dccc,    0
115d361046f28021,  110
115e2b9b6e43cd09,    0
115ea40384633824,    0
115ee3164bd3e077,    0
115f2e6d3191ddcc,    0
115f9402a1a02eef,    0
115ff4a46093efb4,    0
11610763f10a615f,    0
11614eb54383cfa9,    0
11619b395ee9e6d0,    5
1161db0b21c008bf,    0
11620b3d4a8da32a,    0
1162f9268c219570,    0
11630f10e542a09e,    0
11655c6a1e2843de,    0
11663199cf1be1e2,    0
11675b8e9835f6b6,    0
11682ef82b384dd1,    0
1168ad1c6409e4b6,    0
1169244a60dff1a7,    0
116947da318f7248,    0
1169c65f2c603916,    0
116cfa60b6f89c78, 1073
116e2dce5323f56a,    0
116e80301b961b2e, 1339
116f0d750225bac9,    0
116fbc0fbf187f87,    0
11701e88a64f783a,    0
1170458a16993d4e,    0
11717bfdd8dd77c3,    0
11720ff8c9250774,    0
11740b8643f24c53,    0
117505c1bcb35cdc,    0
1175f7109d25e47a,    0
11764d0b1207b435,    0
1177ba47fa5a473f,    0
1177d59120306c88,    0
1178501874729391,    0
11790271551ee730,    0
117ac03ea503afbe,    0
117cba9001bb4f7d,    0
117e0d6086d2f5c5,    0
117e4e0951be69bf,    0
117ee6a9526510db,    0
11804a28e208e583,    0
1180eb6527f163a8,    0
1180f68814a97608,    0
1182c91424e7a6de,    0
118330db4cd1d901,    0
1184d463bb60cab6,    0
1184e3de2b8f6b62,    0
11854c6af8c153b6,    0
1185cbe6f993a698,    0
1186911b6dabecae,    0
1187398d26deae4a,  103
1187f6b8373bd45a,   11
1187fe1fb3817554,    0
1188744fa46591a7,    1
1189626a3d604fd1,    0
1189f47884a7ea48,    0
118ad4778d36cf31,    0
118add7aab1b4a28,    0
118b2fa3c2382528,    0
118c9bf308450a0a,    0
118e6007d89b622f,    1
118e84d31ca1c8d5,   74
118e9a1494fe2932,    0
1190e5652213c84a,    0
1191517a310c4f6e,    0
119390febc1c6d01,    0
11941a84bbd8317a,    0
119461fc23c62417,    0
119485167725c2f1,    0
119508e7761b35bf,    0
119580871d5c0aa6,    0
1195b9776f9db8de,    0
11962f85a49386a7,    5
1196540b2c21c02f,    0
11989f11397806bd,    0
1198c756adb2d884,    0
1198e56b2f9f17de,   14
11991f7f47a7cd79,    0
1199cd4f2517a64f,    0
1199edfbe191ab40,    0
119a093c7062b7fd,    0
119a3f056906cbdd,    4
119a586c82bba99d,    0
119cf5b1d7872172,    0
119d29b7c5ed7041,    0
119e4d0f2559eb5b,    0
119efc1d12bbe5cb,    0
119fb8b277f083c7,    0
11a0c72676e65a06,    0
11a178202b0e3851,    0
11a1eb35afb3abf2,    0
11a2522209067f03,    0
11a293a7bb1ab18f,    2
11a2a913e158758c,    0
11a2d5f58254feef,    0
11a40a77d86ea118,    5
11a4f8b66e663cc8,    0
11a61bc9b969b039,    0
11a626a689916229,    0
11a647629c3efd6b,    0
11a6d55833e26768,    0
11a71b06392b0447,    0
11a796ec75b53540,    0
11aa6cb7f9ff0cc1,    0
11aab647aa5630bf,    0
11ab9b038add3d98,    0
11acb1069d5c1e1b,    0
11ad2da67a7dc0e6,    2
11ae56c0fb0548c4,    0
11aee2a838d531f6,    0
11afe95771d3ecf0,    7
11b002a16d55f265,    0
11b047e4eb0d8953,  384
11b058c1a1fb57f1,    0
11b0ca51b954cac7,    0
11b3311fd8144b3a, 1507
11b38e3cdbee4c30,    0
11b49dcf04cd9355,    0
11b6785486a5fca9,    0
11b71d3907686389,    0
11b816885a96314d,    0
11b9ce822d565eaf,    0
11b9fabe28a11994,    0
11ba3ce6c9fb483a,    0
11baa6697b859928,    0
11bbc0968c0cba0f,    0
11be462d96113ff7,    0
11bec98dd9552936,    0
11bf7d6eeb9c7c96,    0
11c06329f56bb5ea,    0
11c08b9e37552788,    0
11c210c4addbc603,    0
11c6d6d51b932088,    0
11c7548e60ae9462,    0
11c7891d126f6a39,    0
11cacfd088be8926,    0
11cb29adcd4ecbd4,   10
11cb69a40daab732,    0
11ccaebd07263ff1,    0
11ccb8bec082351d,    0
11cd3963fc18cc64,    0
11cfe40dfcb23d6e,    0
11d13250b8e48ba3,    0
11d1b42cc8f41e6b,    0
11d2478ac8e63dbd,    0
11d2ed497e1b2670,    0
11d3c1c4222f2c1a,    0
11d3fe08e9429bf7,    0
11d52b895f38edd3,    0
11d5c0cb2d4e65ed,    0
11d6c4286b2003ce,    0
11d99882a14e57bb,    0
11dbe13f9f361253,    0
11df137e824d8dec,    0
11e02d82d860051c,    0
11e14fa41ec74f54,    0
11e2296a069a87e3,   17
11e371f256b3443a,    0
11e4a066a418e809,    0
11e4ac567407c079,    0
11e4e62dce91d4b9,    0
11e58c4e86142cff,    0
11e67bbd2f4636bb,    0
11e6937fac24d35b,    0
11e75a34efc55fb0,    0
11e829af238e3d48,    0
11e9a67a87b14e00,    0
11e9ba085df3bcf9,    0
11eab8a5895789ad,    0
11ece9494b707b64,    0
